,subCategory,start_date,start_time,end_date,end_time,latitude,longitude
39,roadWorks,2022-02-15,16:00:00,2022-02-15,16:00:00,41.153792429,-8.630669805
40,pothole,2022-02-15,16:30:00,2022-02-15,23:45:00,41.167310089,-8.611340927
41,roadWorks,2022-02-15,11:45:00,2022-02-15,12:15:00,41.14691634,-8.615130679
42,roadWorks,2022-02-15,14:30:00,2022-02-15,15:00:00,41.155744834,-8.629819629
43,roadWorks,2022-02-15,17:00:00,2022-02-15,23:45:00,41.179037976,-8.646761006
44,roadWorks,2022-02-15,17:30:00,2022-02-15,23:45:00,41.173289682,-8.640162855
45,carStopped,2022-02-15,18:30:00,2022-02-15,18:45:00,41.172719747,-8.607331457
46,buildingFire,2022-02-15,18:00:00,2022-02-15,19:45:00,41.142403747,-8.613594905
47,roadWorks,2022-02-15,18:45:00,2022-02-15,20:45:00,41.161287618,-8.59954789
48,roadWorks,2022-02-15,20:30:00,2022-02-15,23:45:00,41.147872729,-8.611629055
49,roadWorks,2022-02-16,10:15:00,2022-02-16,11:00:00,41.150465744,-8.611078951
50,roadWorks,2022-02-16,11:45:00,2022-02-16,12:15:00,41.152734555,-8.62227973
51,carStopped,2022-02-16,12:25:00,2022-02-16,14:00:00,41.173750314,-8.605481432
52,roadWorks,2022-02-16,13:00:00,2022-02-16,16:00:00,41.151509957,-8.567759473
53,pothole,2022-02-16,08:00:00,2022-02-16,23:45:00,41.146524233,-8.616904751
54,pothole,2022-02-16,00:00:00,2022-02-16,23:45:00,41.144630442,-8.609503321
55,pothole,2022-02-16,00:00:00,2022-02-16,23:45:00,41.14162889,-8.613097481
56,pothole,2022-02-16,00:00:00,2022-02-16,23:45:00,41.151223035,-8.646020633
57,roadWorks,2022-02-16,00:00:00,2022-02-16,23:45:00,41.170626294,-8.644151049
58,roadWorks,2022-02-16,00:00:00,2022-02-16,23:45:00,41.16471804,-8.611206314
59,roadWorks,2022-02-16,00:00:00,2022-02-16,23:45:00,41.157169986,-8.638027105
60,roadWorks,2022-02-16,08:30:00,2022-02-16,17:00:00,41.161637968,-8.632882419
61,roadWorks,2022-02-16,08:36:00,2022-02-16,23:45:00,41.149538596,-8.596495571
62,roadWorks,2022-02-16,08:37:00,2022-02-16,23:45:00,41.165042347,-8.611011686
63,roadWorks,2022-02-16,09:00:00,2022-02-16,23:45:00,41.146858353,-8.59083523
64,roadWorks,2022-02-16,09:00:00,2022-02-16,23:45:00,41.174196545,-8.655543816
65,roadWorks,2022-02-16,10:00:00,2022-02-16,23:45:00,41.159618601,-8.593978779
66,roadWorks,2022-02-16,09:00:00,2022-02-16,23:45:00,41.176283576,-8.647525604
67,roadWorks,2022-02-16,09:00:00,2022-02-16,23:45:00,41.170282624,-8.599542854
68,roadWorks,2022-02-16,10:30:00,2022-02-16,23:45:00,41.163068791,-8.631107047
69,roadWorks,2022-02-16,10:30:00,2022-02-16,23:45:00,41.153069195,-8.59566025
70,roadWorks,2022-02-16,11:00:00,2022-02-16,23:45:00,41.155503787,-8.624806664
71,pothole,2022-02-16,11:45:00,2022-02-16,23:45:00,41.179066239,-8.646825379
72,roadWorks,2022-02-16,11:45:00,2022-02-16,23:45:00,41.164548596,-8.632019753
73,pothole,2022-02-16,11:50:00,2022-02-16,23:45:00,41.178647488,-8.645414914
74,pothole,2022-02-16,11:51:00,2022-02-16,23:45:00,41.180060628,-8.645913806
75,roadWorks,2022-02-16,11:50:00,2022-02-16,23:45:00,41.167103207,-8.613147228
76,roadWorks,2022-02-16,12:00:00,2022-02-16,23:45:00,41.152336616,-8.569017848
77,pothole,2022-02-16,13:30:00,2022-02-16,23:45:00,41.165029927,-8.57120829
78,pothole,2022-02-16,13:30:00,2022-02-16,23:45:00,41.142610236,-8.613336323
79,roadWorks,2022-02-16,14:30:00,2022-02-16,16:30:00,41.162575169,-8.666245578
80,roadWorks,2022-02-16,15:00:00,2022-02-16,23:45:00,41.143344381,-8.60216794
81,roadWorks,2022-02-16,15:15:00,2022-02-16,15:30:00,41.164966677,-8.631004494999999
82,roadWorks,2022-02-16,15:15:00,2022-02-16,15:45:00,41.159307683,-8.608278598
